"","Plot","DATE","minHrlyTemp","maxHrlyTemp","minHrlyRH","maxHrlyRH"
"279",1308,"2013-07-21",49.294,87.436,34.733,95.405
"280",1308,"2013-07-22",49.825,90.333,26.771,96.949
"281",1308,"2013-07-23",58.928,82.841,32.591,84.118
"282",1308,"2013-07-24",53.341,92.667,26.506,94.59
"283",1308,"2013-07-25",52.466,87.391,36.015,95.037
"284",1308,"2013-07-26",52.203,85.802,39.881,94.66
"285",1308,"2013-07-27",51.544,83.154,41.579,97.113
"286",1308,"2013-07-28",51.282,79.655,44.731,98.089
"287",1308,"2013-07-29",52.466,74.856,52.015,96.635
"288",1308,"2013-07-30",50.929,79.831,47.077,97.308
"289",1308,"2013-07-31",51.37,82.931,41.948,98.268
"290",1308,"2013-08-01",47.781,85.577,31.458,96.357
"291",1308,"2013-08-02",53.253,89.269,27.697,83.923
"292",1308,"2013-08-03",50.18,84.182,36.606,93.715
"293",1308,"2013-08-04",50.047,79.041,43.338,94.028
"294",1308,"2013-08-05",50.18,80.404,42.118,96.694
"295",1308,"2013-08-06",51.237,77.684,45.154,98.212
"296",1308,"2013-08-07",55.038,72.783,56.011,91.516
"297",1308,"2013-08-08",53.427,78.339,48.801,96.951
"298",1308,"2013-08-09",51.721,78.296,45.589,97.875
"299",1308,"2013-08-10",54.473,80.404,45.059,93.933
"300",1308,"2013-08-11",53.298,85.712,38.234,99.527
"301",1308,"2013-08-12",51.589,87.391,30.918,98.969
"302",1308,"2013-08-13",47.244,93.659,23.668,98.538
"303",1308,"2013-08-14",51.017,96.145,23.06,89.8
"304",1308,"2013-08-15",55.733,93.281,35.668,96.712
"305",1308,"2013-08-16",56.469,93.234,30.707,97.572
"306",1308,"2013-08-17",53.776,92.48,30.431,93.431
"307",1308,"2013-08-18",55.776,98.773,27.841,93.07
"308",1308,"2013-08-19",59.959,90.75,34.495,84.581
"309",1308,"2013-08-20",58.023,86.617,34.927,92.561
"310",1308,"2013-08-21",52.729,83.691,39.16,92.913
"311",1308,"2013-08-22",51.984,80.449,44.654,95.267
"312",1308,"2013-08-23",51.809,86.709,36.311,93.267
"313",1308,"2013-08-24",50.445,86.891,36.369,95.731
"314",1308,"2013-08-25",55.992,82.441,42.458,96.213
"315",1308,"2013-08-26",58.885,89.04,31.68,98.272
"316",1308,"2013-08-27",52.466,91.87,26.346,85.987
"317",1308,"2013-08-28",52.246,88.396,41.057,97.328
"318",1308,"2013-08-29",58.109,91.123,37.635,99.343
"319",1308,"2013-08-30",60.433,98.676,24.194,93.154
"320",1308,"2013-08-31",54.734,91.17,26.939,86.475
"321",1308,"2013-09-01",52.772,87.3,33.351,95.947
"322",1308,"2013-09-02",55.69,86.981,38.447,98.711
"323",1308,"2013-09-03",53.82,86.936,28.634,97.027
"324",1308,"2013-09-04",51.94,89.776,32.642,98.363
"325",1308,"2013-09-05",52.072,87.985,24.799,97.859
"326",1308,"2013-09-06",54.516,97.599,19.562,85.79
"327",1308,"2013-09-07",54.255,98.627,13.655,75.744
"328",1308,"2013-09-08",51.895,99.415,20.264,86.004
"329",1308,"2013-09-09",53.341,100.706,20.013,84.832
"330",1308,"2013-09-10",52.992,76.725,55.334,96.085
"331",1308,"2013-09-11",60.132,69.17,71.732,97.436
"332",1308,"2013-09-12",55.949,84.857,45.89,93.664
"333",1308,"2013-09-13",54.648,88.396,34.647,99.506
"334",1308,"2013-09-14",51.721,86.754,38.467,99.554
"335",1308,"2013-09-15",49.825,84.452,39.536,99.148
"336",1308,"2013-09-16",52.86,88.902,34.265,99.941
"337",1308,"2013-09-17",52.029,80.449,33.889,92.912
"338",1308,"2013-09-18",53.472,87.255,20.174,79.792
"339",1308,"2013-09-19",49.471,91.123,15.682,80.76
"340",1308,"2013-09-20",46.436,83.467,38.292,98.276
"341",1308,"2013-09-21",52.903,70.243,51.601,100
"342",1308,"2013-09-22",46.346,75.942,35.85,100
"343",1308,"2013-09-23",50.18,85.172,33.852,96.926
"344",1308,"2013-09-24",54.734,78.033,34.148,86.937
"345",1308,"2013-09-25",48.315,72.826,30.821,92.917
"346",1308,"2013-09-26",45.307,77.684,21.678,81.106
"347",1308,"2013-09-27",49.073,80.89,18.069,78.884
"348",1308,"2013-09-28",46.031,82.931,16.337,87.632
"349",1308,"2013-09-29",53.602,71.49,68.778,100
"350",1308,"2013-09-30",51.678,73.688,66.223,100
"351",1308,"2013-10-01",45.127,78.296,32.938,100
"352",1308,"2013-10-02",50.576,77.945,26.011,86.095
"353",1308,"2013-10-03",45.534,74.64,13.344,76.279
"354",1308,"2013-10-04",64.76,82.665,10.488,23.443
"355",1308,"2013-10-05",49.959,88.993,8.465,42.365
"356",1308,"2013-10-06",44.901,85.442,14.834,60.897
"357",1308,"2013-10-07",44.492,85.397,13.106,61.67
"358",1308,"2013-10-08",49.649,78.339,24.987,82.22
"359",1308,"2013-10-09",47.467,75.42,22.803,80.873
"360",1308,"2013-10-10",46.301,74.381,30.765,89.221
"361",1308,"2013-10-11",41.322,71.49,37.921,98.997
"362",1308,"2013-10-12",40.485,73.861,38.186,98.826
"363",1308,"2013-10-13",45.941,77.029,20.457,92.079
"364",1308,"2013-10-14",46.391,79.876,20.301,77.116
"365",1308,"2013-10-15",48.583,84.227,9.724,60.158
"366",1308,"2013-10-16",43.9,82.62,16.202,60.835
"367",1308,"2013-10-17",45.399,83.109,17.204,60.421
"368",1308,"2013-10-18",43.99,82.218,21.553,67.701
"369",1308,"2013-10-19",41.693,84.407,18.563,82.755
"370",1308,"2013-10-20",41.554,81.642,24.968,87.332
"371",1308,"2013-10-21",40.204,76.375,34.198,98.801
"372",1308,"2013-10-22",38.842,80.272,30.01,99.232
"373",1308,"2013-10-23",40.438,79.041,30.577,100
"374",1308,"2013-10-24",44.809,65.829,52.943,99.951
"375",1308,"2013-10-25",38.511,71.964,42.777,100
"376",1308,"2013-10-26",41.601,80.978,24.873,99.596
"377",1308,"2013-10-27",40.579,64.589,54.141,98.359
"378",1308,"2013-10-28",41.043,65.872,36.277,95.513
"379",1308,"2013-10-29",39.924,65.059,49.897,100
"380",1308,"2013-10-30",38.464,67.971,44.382,100
"381",1308,"2013-10-31",39.643,74.467,33.332,96.817
"382",1308,"2013-11-01",41.878,77.16,34.07,92.263
"383",1308,"2013-11-02",42.847,73.99,27.511,89.775
"384",1308,"2013-11-03",43.03,63.133,28.394,72.687
